Date Time,Latitude,Longitude,Speed
2009-02-01 19:55:32,44.612298,-75.687596,0
2009-02-01 19:55:33,44.612414,-75.687896,0
2009-02-01 19:55:34,44.612443,-75.687958,0
2009-02-01 19:55:35,44.612443,-75.687960,0
2009-02-01 19:55:38,44.612441,-75.687968,0
2009-02-01 19:55:39,44.612441,-75.687970,0
2009-02-01 19:55:40,44.612441,-75.687971,0
2009-02-01 19:57:00,44.612475,-75.688044,0
2009-02-01 19:57:01,44.612475,-75.688044,0
2009-02-01 19:57:02,44.612475,-75.688046,0
2009-02-01 19:57:03,44.612476,-75.688046,0
2009-02-01 19:57:31,44.612476,-75.688039,0
2009-02-01 19:57:32,44.612453,-75.687968,3
2009-02-01 19:57:33,44.612451,-75.687943,7
2009-02-01 19:57:34,44.612455,-75.687916,9
2009-02-01 19:57:35,44.612468,-75.687891,11
2009-02-01 19:57:36,44.612488,-75.687863,11
2009-02-01 19:57:37,44.612508,-75.687840,11
2009-02-01 19:57:38,44.612528,-75.687811,11
2009-02-01 19:57:39,44.612549,-75.687786,11
2009-02-01 19:57:40,44.612579,-75.687764,12
2009-02-01 19:57:41,44.612615,-75.687738,14
2009-02-01 19:57:42,44.612651,-75.687716,14
