Date Time,Latitude,Longitude,Speed
2019-03-02 22:25:00,45.5570258,-73.6084121,30
2019-03-02 22:26:00,45.5571269,-73.6085677,30
2019-03-02 22:27:00,45.5567288,-73.6089647,30
2019-03-02 22:28:00,45.5536486,-73.6019695,30
2019-03-02 22:29:00,45.5517028,-73.6037075,30
2019-03-02 22:30:00,45.5513271,-73.6040187,30
2019-03-02 22:31:00,45.5497268,-73.6005533,30
2019-03-02 22:32:00,45.5512069,-73.5992765,30
2019-03-02 22:33:00,45.5551512,-73.5958433,30
2019-03-02 22:34:00,45.5573298,-73.5940301,30
2019-03-02 22:35:00,45.5592529,-73.5994053,30
2019-03-02 22:36:00,45.5570894,-73.5991049,30
2019-03-02 22:37:00,45.5552338,-73.6005318,30
2019-03-02 22:38:00,45.5542497,-73.6014545,30
2019-03-02 22:39:00,45.5572697,-73.6083853,30
2019-03-02 23:04:00,45.505431,-73.8109655,30
